creator,creatorLabel,linkcount
http://www.wikidata.org/entity/Q216814,Hippolyte Fizeau,52
http://www.wikidata.org/entity/Q157183,Fernand Léger,51
http://www.wikidata.org/entity/Q109061,Guido Reni,51
http://www.wikidata.org/entity/Q154349,Odilon Redon,51
http://www.wikidata.org/entity/Q309759,Edward Lear,51
http://www.wikidata.org/entity/Q203401,Edward Hopper,51
http://www.wikidata.org/entity/Q151580,Alexander Calder,51
http://www.wikidata.org/entity/Q152788,Emil Nolde,51
http://www.wikidata.org/entity/Q153746,Albrecht Altdorfer,50
http://www.wikidata.org/entity/Q206820,Anders Zorn,50
http://www.wikidata.org/entity/Q205863,Jan Steen,50
http://www.wikidata.org/entity/Q205148,Filippo Lippi,50
http://www.wikidata.org/entity/Q159409,Louise Bourgeois,50
http://www.wikidata.org/entity/Q214905,Thomas Eakins,49
http://www.wikidata.org/entity/Q203371,Georges de La Tour,49
http://www.wikidata.org/entity/Q212600,Eugène Louis Boudin,49
http://www.wikidata.org/entity/Q152797,Umberto Boccioni,49
http://www.wikidata.org/entity/Q158062,Max Liebermann,49
http://www.wikidata.org/entity/Q33978,Robert Delaunay,49
http://www.wikidata.org/entity/Q223274,Frédéric Auguste Bartholdi,49
http://www.wikidata.org/entity/Q123071,Arnold Böcklin,49
http://www.wikidata.org/entity/Q301597,Bartolomeo Cristofori,49
http://www.wikidata.org/entity/Q155407,Jean-Michel Basquiat,49
http://www.wikidata.org/entity/Q217434,Grant Wood,49
http://www.wikidata.org/entity/Q123098,Angelica Kauffmann,48
http://www.wikidata.org/entity/Q220703,Charles Rennie Mackintosh,48
http://www.wikidata.org/entity/Q229351,Tamara de Lempicka,48
http://www.wikidata.org/entity/Q271676,Charles Le Brun,48
http://www.wikidata.org/entity/Q214074,Claude Lorrain,48
http://www.wikidata.org/entity/Q271884,Norman Rockwell,48
http://www.wikidata.org/entity/Q207447,Jean-Baptiste-Siméon Chardin,48
http://www.wikidata.org/entity/Q152233,El Lissitzky,48
http://www.wikidata.org/entity/Q107194,George Grosz,48
http://www.wikidata.org/entity/Q7031,Luca Signorelli,47
http://www.wikidata.org/entity/Q272045,Kitagawa Utamaro,47
http://www.wikidata.org/entity/Q156272,André Derain,47
http://www.wikidata.org/entity/Q108301,Maurice Utrillo,47
http://www.wikidata.org/entity/Q203828,Gustave Moreau,47
http://www.wikidata.org/entity/Q272877,Fernando Botero,47
http://www.wikidata.org/entity/Q207298,Frédéric Bazille,47
http://www.wikidata.org/entity/Q132305,Willem de Kooning,46
http://www.wikidata.org/entity/Q106851,Hans Memling,46
http://www.wikidata.org/entity/Q240526,Lawrence Alma-Tadema,46
http://www.wikidata.org/entity/Q221043,Simone Martini,46
http://www.wikidata.org/entity/Q295144,Gustave Caillebotte,46
http://www.wikidata.org/entity/Q168704,Niki de Saint Phalle,46
http://www.wikidata.org/entity/Q76718,Anton Raphael Mengs,45
http://www.wikidata.org/entity/Q170076,Jean Dubuffet,45
http://www.wikidata.org/entity/Q696376,Versace,45
http://www.wikidata.org/entity/Q311398,Jean Fouquet,45
http://www.wikidata.org/entity/Q225283,Annie Leibovitz,45
http://www.wikidata.org/entity/Q164683,Max Beckmann,45
http://www.wikidata.org/entity/Q31523,Yosa Buson,44
http://www.wikidata.org/entity/Q45205,Raoul Dufy,44
http://www.wikidata.org/entity/Q170071,Josef Albers,44
http://www.wikidata.org/entity/Q241098,Maurice de Vlaminck,44
http://www.wikidata.org/entity/Q209050,Jan Brueghel the Elder,44
http://www.wikidata.org/entity/Q26408,Pierre Bonnard,44
http://www.wikidata.org/entity/Q155158,Kurt Schwitters,44
http://www.wikidata.org/entity/Q156890,Ernst Barlach,44
http://www.wikidata.org/entity/Q315237,Vasily Perov,44
http://www.wikidata.org/entity/Q264193,Émile Bernard,44
http://www.wikidata.org/entity/Q214564,Ferdinand Hodler,44
http://www.wikidata.org/entity/Q220136,Giambologna,43
http://www.wikidata.org/entity/Q7824,Annibale Carracci,43
http://www.wikidata.org/entity/Q7780,Fra Bartolomeo,43
http://www.wikidata.org/entity/Q154335,Yves Klein,43
http://www.wikidata.org/entity/Q158840,James Ensor,43
http://www.wikidata.org/entity/Q310025,Théodore Rousseau,42
http://www.wikidata.org/entity/Q81627,al-Jazari,42
http://www.wikidata.org/entity/Q211562,Ambrogio Lorenzetti,42
http://www.wikidata.org/entity/Q311082,Pisanello,42
http://www.wikidata.org/entity/Q314419,Ettore Bugatti,42
http://www.wikidata.org/entity/Q5581,Vittore Carpaccio,42
http://www.wikidata.org/entity/Q160448,László Moholy-Nagy,42
http://www.wikidata.org/entity/Q80442,Robert Campin,42
http://www.wikidata.org/entity/Q264269,Anna Atkins,41
http://www.wikidata.org/entity/Q299565,William Henry Fox Talbot,41
http://www.wikidata.org/entity/Q213612,Jacob van Ruisdael,41
http://www.wikidata.org/entity/Q351746,Joaquín Sorolla,41
http://www.wikidata.org/entity/Q164358,Robert Rauschenberg,41
http://www.wikidata.org/entity/Q316307,Giovanni Battista Piranesi,41
http://www.wikidata.org/entity/Q170345,Kees van Dongen,41
http://www.wikidata.org/entity/Q214666,Léon Bakst,41
http://www.wikidata.org/entity/Q160141,Chaïm Soutine,41
http://www.wikidata.org/entity/Q159907,David Hockney,41
http://www.wikidata.org/entity/Q154594,Lucian Freud,41
http://www.wikidata.org/entity/Q164351,Gerhard Richter,41
http://www.wikidata.org/entity/Q457881,John Tenniel,41
http://www.wikidata.org/entity/Q542767,Christian Dior S.A.,40
http://www.wikidata.org/entity/Q381248,James Tissot,40
http://www.wikidata.org/entity/Q155057,Jasper Johns,40
http://www.wikidata.org/entity/Q164696,Hans Baldung,40
http://www.wikidata.org/entity/Q310437,Alexandre Cabanel,40
http://www.wikidata.org/entity/Q216406,Edward Burne-Jones,40
http://www.wikidata.org/entity/Q215251,Hugo van der Goes,40
http://www.wikidata.org/entity/Q344838,Winslow Homer,39
http://www.wikidata.org/entity/Q334001,Thomas Cole,39
http://www.wikidata.org/entity/Q230120,Julia Margaret Cameron,39
http://www.wikidata.org/entity/Q252357,Charles-François Daubigny,39
http://www.wikidata.org/entity/Q296265,Filippino Lippi,39
http://www.wikidata.org/entity/Q320118,Domenichino,39
http://www.wikidata.org/entity/Q381238,Stanisław Ignacy Witkiewicz,39
http://www.wikidata.org/entity/Q78884,Hans Hollein,39
http://www.wikidata.org/entity/Q316325,Andrew Wyeth,39
http://www.wikidata.org/entity/Q165648,Arshile Gorky,39
http://www.wikidata.org/entity/Q440369,Maurice Denis,39
http://www.wikidata.org/entity/Q327071,Paul Revere,38
http://www.wikidata.org/entity/Q160252,"Frederic Leighton, 1st Baron Leighton",38
http://www.wikidata.org/entity/Q164688,Bernardo Bellotto,38
http://www.wikidata.org/entity/Q280851,Piero di Cosimo,38
http://www.wikidata.org/entity/Q156889,Suzanne Valadon,38
http://www.wikidata.org/entity/Q353628,Arkhip Kuindzhi,38
http://www.wikidata.org/entity/Q233207,Leonora Carrington,38
http://www.wikidata.org/entity/Q232391,Natalia Goncharova,38
http://www.wikidata.org/entity/Q270658,Jacob Jordaens,38
http://www.wikidata.org/entity/Q158255,Lyonel Feininger,38
http://www.wikidata.org/entity/Q236050,Lavinia Fontana,38
http://www.wikidata.org/entity/Q314814,Philippe de Champaigne,38
http://www.wikidata.org/entity/Q77132,Albert Bierstadt,37
http://www.wikidata.org/entity/Q366212,Frederic Edwin Church,37
http://www.wikidata.org/entity/Q66809948,Yves Tanguy,37
http://www.wikidata.org/entity/Q156128,Georges Rouault,37
http://www.wikidata.org/entity/Q359421,Salvator Rosa,37
http://www.wikidata.org/entity/Q48514,Sesshū Tōyō,37
http://www.wikidata.org/entity/Q310715,Henri Fantin-Latour,37
http://www.wikidata.org/entity/Q167318,Hubert de Givenchy,37
http://www.wikidata.org/entity/Q314350,Antoine Bourdelle,37
http://www.wikidata.org/entity/Q319861,Alexandre Benois,37
http://www.wikidata.org/entity/Q164961,Adolph von Menzel,37
http://www.wikidata.org/entity/Q170339,Lucas Cranach the Younger,37
http://www.wikidata.org/entity/Q313275,Boris Kustodiev,37
http://www.wikidata.org/entity/Q123740,Félix Vallotton,37
http://www.wikidata.org/entity/Q177213,Baldassare Peruzzi,37
http://www.wikidata.org/entity/Q58662,Petrus Apianus,37
http://www.wikidata.org/entity/Q312393,Gentile da Fabriano,37
http://www.wikidata.org/entity/Q312859,Yousuf Karsh,37
http://www.wikidata.org/entity/Q156731,Claes Oldenburg,37
http://www.wikidata.org/entity/Q7486,Emperor Huizong of Song,36
http://www.wikidata.org/entity/Q170344,Anselm Kiefer,36
http://www.wikidata.org/entity/Q229455,Cindy Sherman,36
