Q184418,coffin,8
Q7526164,"Sir Cecil Wray, 13th Baronet",8
Q42948,wall,7
Q1279269,chignon,7
Q133492,letter,7
Q3914,school,7
Q170483,sailing ship,7
Q23834,comb,7
Q1056134,uchiwa,7
Q32815,mosque,7
Q148030,Triton,7
Q10575466,Q10575466,7
Q308194,daughter,7
Q19546,pope,7
Q173603,helmet,7
Q2535664,crocodile,7
Q2977,cathedral,7
Q62577,haystack,7
Q282,wine,7
Q10289,barrel,7
Q193017,stocking,7
Q204390,straw hat,7
Q124072,rifle,7
Q9181,Abraham,7
Q169031,glove,7
Q184874,Ariadne,7
Q349,sport,7
Q310192,George Brinton McClellan,7
Q40847,scissors,7
Q283,water,7
Q2413314,jug,7
Q131512,farmer,7
Q39911916,advertisement,7
Q101687,altar,7
Q355304,watercourse,7
Q170485,Parvati,7
Q11957145,acrobat,7
Q36396,Rattus,7
Q171497,sunflower,7
Q213441,shop,7
Q641,Venice,7
Q229190,Catherine of Siena,7
Q404785,ewer,7
Q214169,pheasant,7
Q8,happiness,7
Q3341285,cue sports,7
Q951220,ibex,7
Q3245263,oak,7
Q153522,Gebhard Leberecht von Blücher,7
Q316295,Bernardino of Siena,7
Q228896,Salome,7
Q41680,Dionysus,7
Q197,airplane,7
Q133279,back,7
Q102083,knight,7
Q183266,Samuel Johnson,7
Q332623,"Samuel Hood, 1st Viscount Hood",7
Q34706,leopard,6
Q15179,moustache,6
Q81727,Cup,6
Q107679,cliff,6
Q166564,sunset,6
Q130768,smoke,6
Q848706,domesticated turkey,6
Q97,Atlantic Ocean,6
Q7391,Anthophila,6
Q193472,trunk,6
Q57216,plate,6
Q214648,Samson,6
Q49085,African Americans,6
Q2395922,transatlantic telegraph cable,6
Q1412773,Tobias,6
Q1347864,walking stick,6
Q677655,palmette,6
Q47928,circus,6
Q25962599,stars,6
Q2703478,mirror image,6
Q58966,spinning wheel,6
Q1160546,inkwell,6
Q13180610,Q13180610,6
Q245005,teapot,6
Q1821239,Day of Judgment,6
Q8371,cello,6
Q151771,candlestick,6
Q14973416,footstool,6
Q18281,embroidery,6
Q55693872,medicine,6
Q40953,prayer,6
Q43982,Bartholomew the Apostle,6
Q862454,lantern,6
Q105674,running,6
Q128538,Luke the Evangelist,6
Q223194,faun,6
Q2033105,Flagellation of Christ,6
Q28532552,Judith,6
Q455550,camping,6
Q2627975,ceremony,6
Q18575790,blue sky,6
Q31029,rope,6
Q43483,well,6
Q626066,banquet,6
Q352725,Richard Brinsley Sheridan,6
Q331055,burial,6
Q1093370,Coronation of the Virgin,6
Q49836,wedding,6
Q487,smile,6
Q130832,Perseus,6
Q15807,foot,6
Q204776,bench,6
Q312593,Frederick North,6
Q152457,Saint Roch,6
Q363308,Walker Evans,6
Q14745,furniture,6
Q210723,chalice,5
Q11575,Zea mays,5
Q3407658,tram,5
Q93352,coast,5
Q1551574,hot air balloon,5
Q21075684,children,5
Q309250,courtyard,5
Q62383792,Q62383792,5
Q308841,snail,5
Q1512054,acoustic horn,5
Q132851,admiral,5
Q506294,picnic,5
Q170980,obelisk,5
Q886167,flowering plant,5
Q331432,fisher,5
Q29465,Narcissus,5
Q1913135,puppet,5
Q160464,button,5
Q15629245,lizard,5
Q1784733,correspondence,5
Q871991,cherry blossom,5
Q196,cherry,5
Q384873,leash,5
Q1056617,love letter,5
Q45922,arrow,5
Q193897,paintbrush,5
Q7370671,gourd,5
Q5849500,cloth,5
Q81707,teacup,5
Q721941,geta,5
Q29048022,knitting,5
Q483634,iron,5
Q3966286,execution,5
Q17131,Pontius Pilatus,5
Q2923673,branch,5
Q35417711,Q35417711,5
Q653053,ruff,5
Q11314470,semi nude,5
Q17590,Lawrence of Rome,5
Q2160801,skirt,5
Q12888135,candle,5
Q160499,Charles-Maurice de Talleyrand-Périgord,5
Q719252,Battle of Antietam,5
Q40540,zodiac,5
Q183240,Saint Lucy,5
Q5,human,5
Q198,war,5
Q21169216,actress,5
Q174353,Orpheus,5
Q182559,mermaid,5
Q51672,Herod the Great,5
Q132539,rosary,5
Q625748,Holofernes,5
Q1245512,Death of the Virgin Mary,5
Q19983456,gaze towards the viewer,5
Q18451251,goblet,5
Q47107,bucket,5
Q173869,Alfred Tennyson,5
Q152357,red hair,5
Q862089,giraffe,5
Q8514,desert,5
Q8028,fairy,5
Q14952,headgear,5
Q6918773,ribbon,5
Q2733634,John of Patmos,5
Q188641,nipple,5
Q15978441,coif,5
Q7750,Louis XVIII of France,5
Q131691,"Arthur Wellesley, 1st Duke of Wellington",5
Q15719234,bird's wing,5
Q202466,blond hair,5
Q5135552,"clothed male, naked female",5
Q154425,toe,5
Q42165,buttocks,5
Q193818,hip,5
Q11019,machine,5
Q34505,hippopotamus,5
Q165792,Edmund Burke,5
Q126916,Minerva,5
Q335351,"Henry Dundas, 1st Viscount Melville",5
Q32112,boxing,5
Q276453,monster,5
Q16859165,Edward Topham,5
Q1104430,carafe,4
Q116887,décolletage,4
Q191022,scarf,4
Q630566,Catskill Mountains,4
Q468930,trompe-l'œil,4
Q1340307,toddler,4
Q746628,studio,4
Q43261,horizon,4
Q863454,pier,4
Q190868,boot,4
Q319630,Henry Clay,4
Q8269,The Tale of Genji,4
Q7369,dolphin,4
Q1555903,ermine,4
Q27686,hotel,4
Q185939,gibbon,4
Q937827,Delilah,4
Q188075,box,4
Q1072166,tea house,4
Q811646,tree stump,4
Q2460567,turban,4
Q368366,cuff,4
Q1135567,buckle,4
Q12609698,yūjo,4
Q1211742,crayfish,4
Q11389,Brahma,4
Q2302770,breeches,4
Q6151536,Spanish costume,4
Q16002303,akimbo,4
Q11599938,Kasamori Osen,4
Q187947,score,4
Q8473,military,4
Q1250916,warrior,4
Q2820111,cult image,4
Q56627913,ceremonial object,4
Q93184,drawing,4
Q60,New York City,4
Q44377,tunnel,4
Q39715,lighthouse,4
Q852100,laundering,4
Q156901,Iris,4
Q10817602,pineapple,4
Q1058800,moonlight,4
Q5638,bus,4
Q43192,flag of France,4
Q1854755,falling in love,4
Q7371749,rowing,4
Q1079524,specular reflection,4
Q61864890,lobster,4
Q41207,coin,4
Q44091,Saint Dominic,4
Q4918,Mediterranean Sea,4
Q37085,Solomon,4
Q1357,Araneae,4
Q59882,Chrysanthemum,4
Q6534,French Revolution,4
Q28425,bat,4
Q693922,veranda,4
Q987767,container,4
Q188936,William Tecumseh Sherman,4
Q289,television,4
Q258896,banjo,4
Q79838,accordion,4
Q334207,Francis Burdett,4
Q1150,Mercury,4
Q179700,statue,4
Q8347,bagpipes,4
Q297742,Margaret the Virgin,4
Q46311,bow,4
Q12634515,kithara,4
Q8072,volcano,4
Q134154,Amazons,4
Q11748378,cow,4
Q8068,flood,4
Q84122,Horus,4
Q37226,teacher,4
Q27939,singing,4
Q1444,organ,4
Q16334295,group of humans,4
Q16624872,washerwoman,4
Q12516,pyramid,4
Q23392,ice,4
Q3347071,water lily,4
Q127318,George III of Great Britain,4
Q25894,antelope,4
Q99895,pillow,4
Q131704,sandal,4
Q20460,crucifix,4
Q37122,Athena,4
Q43669,Thomas the Apostle,4
Q470855,Nicholas of Tolentino,4
Q112,Mars,4
Q35500,Aphrodite,4
Q75794,bubble,4
Q329737,butcher,4
Q43471,arm,4
Q13365963,Descent from the Cross,4
Q2044369,intergluteal cleft,4
Q336,science,4
Q6502413,shack,4
Q8018,Augustine of Hippo,4
Q581776,boulder,4
Q11633,photography,4
Q33163,stool,4
Q843533,areola,4
Q233861,musical notation,4
Q6537379,walking,4
Q162691,Assumption of Mary,4
Q186361,punishment,4
Q671872,Isaac,4
Q401,cuneiform,4
Q8409,Alexander the Great,4
Q7358,clown,4
Q213753,harvest,4
Q7742,Louis XIV of France,4
Q2179394,nude swimming,4
Q817393,black people,3
Q718,chess,3
Q283102,afternoon,3
Q860792,picture frame,3
Q958210,vest,3
Q2393753,dress shirt,3
Q50030,watercolor,3
Q43748,eyebrow,3
Q5078274,sketch,3
Q2329,chemistry,3
Q23442,island,3
Q390001,pastoral,3
Q203789,stove,3
Q45089,dice,3
Q1075988,Louvre Palace,3
Q1483983,Kiseru,3
Q107444,kettle,3
Q106231,Daniel Webster,3
Q14458220,strawberry,3
Q109858,Fifth Avenue,3
Q220728,Flatiron Building,3
Q6023295,funerary structure,3
Q2921001,art of drawing,3
Q160730,Medusa,3
Q49848,document,3
Q101217606,Nakamura Nakazō II,3
Q43193,truck,3
Q56951,Raphael,3
Q150784,canyon,3
Q913,Socrates,3
Q787,pig,3
Q82723,geisha,3
Q2972160,chōzubachi,3
Q11533616,Cassotte,3
Q35255,cougar,3
Q7307,kiss,3
Q1412495,bobbin lace,3
Q17489160,bust,3
Q891304,bolero,3
Q1495651,Lake George,3
Q127933,firework,3
Q2106696,makeup table,3
Q3257871,dressing room,3
Q635,Cleopatra,3
Q2403941,Tenugui,3
Q15992049,chōchin,3
Q50316288,comb,3
Q222390,David Garrick,3
Q28823,textile,3
Q173056,loom,3
Q1144689,folding screen,3
Q42486,wrestling,3
Q1259917,violinist,3
Q6033694,knitting,3
Q42606,Amenhotep III,3
Q52531,Santa Maria della Salute,3
Q9439,Queen Victoria,3
Q1277215,rosette,3
Q218248,Grotesque,3
Q161582,Andromeda,3
Q110304,top hat,3
Q45841622,Pilate washing his hands,3
Q11469,glass,3
Q361,World War I,3
Q3406628,onion,3
Q9588290,longboat,3
Q107411,oyster,3
Q273320,sibyl,3
Q3725177,Aeneas,3
Q208120,caryatid,3
Q9134,mythology,3
Q76768,shirt,3
Q843382,Psyche,3
Q11472,paper,3
Q838828,parquetry,3
Q1370565,sash,3
Q7418099,Sangram Singh II,3
Q12493,dome,3
Q37477,fog,3
Q160742,abbey,3
Q178193,steamboat,3
Q18498,Canis lupus,3
Q480,Don Quixote,3
Q2531974,birdcage,3
Q11594506,Kamuro,3
Q1207302,jar,3
Q73256100,Marie Escudier,3
Q13561346,fishing vessel,3
Q7860,nature,3
Q3954,Neptune,3
Q56315369,octopus,3
Q412770,infant bed,3
Q160409,Central Park,3
Q11480209,Ichikawa Danjūrō V,3
Q1604733,chemise,3
Q5004679,path,3
Q11817,Andrew Jackson,3
Q181623,warehouse,3
Q13191,orange,3
Q159888,Queen of Sheba,3
Q167477,Anthony of Padua,3
Q308902,Victoria,3
Q818517,Tuileries Garden,3
Q42861,kite,3
Q468272,Washington Allston,3
